pwm,voltage,speed
128,2.20564,8.054374
208,2.214502,14.94204
191,2.216114,13.45159
96,2.207251,5.512069
89,2.189526,5.096844
170,2.212891,11.59088
153,2.206445,10.02596
74,2.206445,3.951281
189,2.206445,13.32199
72,2.199194,3.960117
66,2.200806,3.20756
195,2.203223,13.41243
73,2.207251,3.623412
137,2.204834,8.912927
86,2.204834,4.94686
238,2.206445,17.77321
89,2.20564,4.976449
44,2.20564,1.271824
99,2.206445,5.946743
94,2.206445,5.547772
13,2.204834,0
163,2.20564,11.02669
212,2.203223,15.20336
98,2.20564,5.795035
22,2.204834,0
21,2.206445,0
0,2.191943,0
65,2.204834,3.136261
201,2.185498,14.12701
131,2.208057,8.275669
73,2.21853,3.74855
105,2.204834,6.186527
228,2.208057,16.04097
17,2.208057,0
110,2.206445,6.837159
23,2.207251,0
221,2.206445,15.56554
145,2.200806,9.490529
72,2.207251,3.628644
94,2.204834,5.610588
22,2.209668,0
90,2.208057,5.068426
83,2.206445,4.624247
34,2.206445,0
205,2.208862,14.21599
208,2.204834,14.60269
77,2.207251,4.098396
65,2.200806,3.180465
164,2.207251,10.79363
253,2.207251,19.24665
34,2.206445,0
22,2.2,0
95,2.20564,5.599368
72,2.20564,3.791071
179,2.2,12.35272
21,2.193554,0
171,2.207251,11.39282
104,2.206445,6.283035
247,2.21128,19.3324
135,2.207251,8.559359
96,2.208057,5.459974
154,2.195166,9.963315
145,2.196777,9.468103
180,2.206445,12.09254
45,2.207251,0
62,2.20564,2.892289
76,2.198389,4.066103
166,2.204834,11.19678
26,2.206445,0
152,2.207251,10.06708
219,2.20564,15.31931
104,2.203223,6.37364
61,2.203223,2.574738
210,2.208057,14.82611
57,2.206445,2.599701
214,2.207251,15.04349
129,2.208862,8.036654
191,2.190332,13.5213
221,2.195972,15.78087
52,2.207251,2.069582
65,2.20564,3.076325
208,2.187915,15.09887
206,2.207251,14.81562
32,2.207251,0
15,2.206445,0
248,2.204834,19.29986
25,2.212891,0
82,2.207251,4.600842
252,2.191943,19.33835
226,2.208057,16.50794
21,2.20564,0
35,2.203223,0
46,2.195972,0
86,2.208862,4.819177
161,2.191943,10.76714
51,2.20564,1.834254
37,2.207251,0
55,2.206445,2.288686
167,2.206445,11.22727
254,2.204834,19.27618
130,2.208057,8.306301
249,2.206445,19.74776
229,2.190332,16.66327
4,2.193554,0
125,2.191943,7.840065
26,2.208057,0
85,2.206445,4.838475
205,2.196777,14.64025
74,2.199194,3.966477
180,2.204834,13.11883
156,2.208862,10.56026
75,2.208862,3.889265
78,2.203223,4.138227
78,2.206445,4.032905
118,2.19436,7.47219
224,2.20564,16.22321
